time,subject,fuzzer,run,cov_type,cov
1615972850,lightftp,aflnet,2,b_abs,212
1615972876,lightftp,aflnet,2,l_per,44.2
1615972876,lightftp,aflnet,2,l_abs,499
1615972876,lightftp,aflnet,2,b_per,27.2
1615972876,lightftp,aflnet,2,b_abs,213
1615972926,lightftp,aflnet,2,l_per,44.3
1615972926,lightftp,aflnet,2,l_abs,500
1615972926,lightftp,aflnet,2,b_per,27.4
1615972926,lightftp,aflnet,2,b_abs,214
1615972955,lightftp,aflnet,2,l_per,44.9
1615972955,lightftp,aflnet,2,l_abs,506
1615972955,lightftp,aflnet,2,b_per,27.6
1615972955,lightftp,aflnet,2,b_abs,216
1615972986,lightftp,aflnet,2,l_per,45.1
1615972986,lightftp,aflnet,2,l_abs,509
1615972986,lightftp,aflnet,2,b_per,28.3
1615972986,lightftp,aflnet,2,b_abs,221
1615972997,lightftp,aflnet,2,l_per,45.1
1615972997,lightftp,aflnet,2,l_abs,509
1615972997,lightftp,aflnet,2,b_per,28.3
1615972997,lightftp,aflnet,2,b_abs,221
1615973010,lightftp,aflnet,2,l_per,45.4
1615973010,lightftp,aflnet,2,l_abs,512
1615973010,lightftp,aflnet,2,b_per,28.9
1615973010,lightftp,aflnet,2,b_abs,226
1615973030,lightftp,aflnet,2,l_per,45.7
1615973030,lightftp,aflnet,2,l_abs,516
1615973030,lightftp,aflnet,2,b_per,29.4
1615973030,lightftp,aflnet,2,b_abs,230
1615973041,lightftp,aflnet,2,l_per,45.9
1615973041,lightftp,aflnet,2,l_abs,518
1615973041,lightftp,aflnet,2,b_per,29.7
1615973041,lightftp,aflnet,2,b_abs,232
1615973075,lightftp,aflnet,2,l_per,46.4
1615973075,lightftp,aflnet,2,l_abs,523
1615973075,lightftp,aflnet,2,b_per,30.1
1615973075,lightftp,aflnet,2,b_abs,235
1615973093,lightftp,aflnet,2,l_per,46.5
1615973093,lightftp,aflnet,2,l_abs,524
1615973093,lightftp,aflnet,2,b_per,30.3
1615973093,lightftp,aflnet,2,b_abs,237
1615973140,lightftp,aflnet,2,l_per,46.7
1615973140,lightftp,aflnet,2,l_abs,527
1615973140,lightftp,aflnet,2,b_per,30.8
1615973140,lightftp,aflnet,2,b_abs,241
1615973173,lightftp,aflnet,2,l_per,50.3
1615973173,lightftp,aflnet,2,l_abs,567
1615973173,lightftp,aflnet,2,b_per,33.2
1615973173,lightftp,aflnet,2,b_abs,260
1615973206,lightftp,aflnet,2,l_per,51.6
1615973206,lightftp,aflnet,2,l_abs,582
1615973206,lightftp,aflnet,2,b_per,34.1
